query,intent,target,parameter,modifier,conditions
Inspect sensor discrepancy: inverter current.,inspect,inverter,current,sudden_drop,under_cloud_cover
Predict state_of_charge readings on the inverter.,predict,inverter,state_of_charge,unstable,none
Inspect why the pv_array temperature is critical.,inspect,pv_array,temperature,critical,none
Predict the sudden_drop temperature in the charge_controller.,predict,charge_controller,temperature,sudden_drop,under_cloud_cover
Monitor efficiency readings on the charge_controller.,monitor,charge_controller,efficiency,overload,post_storm
Predict sensor discrepancy: inverter efficiency.,predict,inverter,efficiency,high,none
Log inverter — temperature seems low.,log,inverter,temperature,low,heatwave
Diagnose the inverter voltage.,diagnose,inverter,voltage,unstable,none
Diagnose anomaly in smart_meter voltage.,diagnose,smart_meter,voltage,high,heatwave
Monitor sensor discrepancy: inverter irradiance.,monitor,inverter,irradiance,low,at_night
Monitor the grid_tie_inverter load_balance.,monitor,grid_tie_inverter,load_balance,unstable,heatwave
Reset why the solar_panel load_balance is none.,reset,solar_panel,load_balance,none,at_night
Optimize the overload fault_code in the microgrid_controller.,optimize,microgrid_controller,fault_code,overload,under_cloud_cover
Log fault_code readings on the grid_tie_inverter.,log,grid_tie_inverter,fault_code,high,under_cloud_cover
Predict sensor discrepancy: grid_tie_inverter current.,predict,grid_tie_inverter,current,low,heatwave
Optimize why the grid_tie_inverter temperature is low.,optimize,grid_tie_inverter,temperature,low,heatwave
Log anomaly in inverter load_balance.,log,inverter,load_balance,sudden_drop,heatwave
Inspect the solar_panel load_balance.,inspect,solar_panel,load_balance,unstable,at_night
Check anomaly in battery_bank output_power.,check,battery_bank,output_power,critical,at_night
Log why the inverter frequency is overload.,log,inverter,frequency,overload,post_storm
Predict anomaly in battery_bank load_balance.,predict,battery_bank,load_balance,low,during_peak_hours
Diagnose the high fault_code in the smart_meter.,diagnose,smart_meter,fault_code,high,during_peak_hours
Log issue detected in microgrid_controller state_of_charge.,log,microgrid_controller,state_of_charge,intermittent,none
Optimize fault_code readings on the smart_meter.,optimize,smart_meter,fault_code,none,under_cloud_cover
Inspect anomaly in microgrid_controller voltage.,inspect,microgrid_controller,voltage,sudden_drop,heatwave
Reset the charge_controller state_of_charge.,reset,charge_controller,state_of_charge,intermittent,post_storm
Diagnose voltage readings on the charge_controller.,diagnose,charge_controller,voltage,overload,none
Optimize the critical current in the battery_bank.,optimize,battery_bank,current,critical,heatwave
Optimize issue detected in solar_panel frequency.,optimize,solar_panel,frequency,high,during_peak_hours
Reset sensor discrepancy: battery_bank fault_code.,reset,battery_bank,fault_code,none,post_storm
Inspect why the solar_panel state_of_charge is high.,inspect,solar_panel,state_of_charge,high,under_cloud_cover
Diagnose the sudden_drop voltage in the grid_tie_inverter.,diagnose,grid_tie_inverter,voltage,sudden_drop,none
Monitor issue detected in microgrid_controller frequency.,monitor,microgrid_controller,frequency,overload,heatwave
Optimize sensor discrepancy: microgrid_controller fault_code.,optimize,microgrid_controller,fault_code,critical,heatwave
Predict the battery_bank output_power.,predict,battery_bank,output_power,unstable,none
Optimize the grid_tie_inverter irradiance.,optimize,grid_tie_inverter,irradiance,intermittent,heatwave
Inspect sensor discrepancy: solar_panel irradiance.,inspect,solar_panel,irradiance,unstable,under_cloud_cover
Check efficiency readings on the inverter.,check,inverter,efficiency,low,under_cloud_cover
Monitor issue detected in smart_meter state_of_charge.,monitor,smart_meter,state_of_charge,critical,during_peak_hours
Log fault_code readings on the pv_array.,log,pv_array,fault_code,low,at_night
Optimize smart_meter — efficiency seems low.,optimize,smart_meter,efficiency,low,heatwave
Inspect anomaly in solar_panel efficiency.,inspect,solar_panel,efficiency,overload,at_night
Reset the sudden_drop efficiency in the smart_meter.,reset,smart_meter,efficiency,sudden_drop,heatwave
Log irradiance readings on the grid_tie_inverter.,log,grid_tie_inverter,irradiance,sudden_drop,heatwave
Inspect issue detected in inverter load_balance.,inspect,inverter,load_balance,overload,heatwave
Monitor issue detected in charge_controller state_of_charge.,monitor,charge_controller,state_of_charge,sudden_drop,at_night
Log output_power readings on the grid_tie_inverter.,log,grid_tie_inverter,output_power,none,at_night
Optimize the unstable irradiance in the grid_tie_inverter.,optimize,grid_tie_inverter,irradiance,unstable,heatwave
Log smart_meter — irradiance seems high.,log,smart_meter,irradiance,high,at_night
Optimize grid_tie_inverter — current seems sudden_drop.,optimize,grid_tie_inverter,current,sudden_drop,post_storm
Inspect battery_bank — output_power seems none.,inspect,battery_bank,output_power,none,none
Reset the microgrid_controller frequency.,reset,microgrid_controller,frequency,intermittent,post_storm
Inspect anomaly in grid_tie_inverter voltage.,inspect,grid_tie_inverter,voltage,overload,none
Reset issue detected in solar_panel state_of_charge.,reset,solar_panel,state_of_charge,none,heatwave
Predict load_balance readings on the microgrid_controller.,predict,microgrid_controller,load_balance,overload,post_storm
Diagnose sensor discrepancy: solar_panel voltage.,diagnose,solar_panel,voltage,high,heatwave
Check anomaly in microgrid_controller state_of_charge.,check,microgrid_controller,state_of_charge,unstable,none
Predict sensor discrepancy: inverter temperature.,predict,inverter,temperature,sudden_drop,at_night
Reset the inverter voltage.,reset,inverter,voltage,unstable,heatwave
Predict state_of_charge readings on the inverter.,predict,inverter,state_of_charge,overload,heatwave
Inspect why the charge_controller state_of_charge is low.,inspect,charge_controller,state_of_charge,low,post_storm
Check current readings on the grid_tie_inverter.,check,grid_tie_inverter,current,overload,heatwave
Predict the solar_panel current.,predict,solar_panel,current,overload,under_cloud_cover
Reset solar_panel — temperature seems critical.,reset,solar_panel,temperature,critical,during_peak_hours
Monitor pv_array — irradiance seems intermittent.,monitor,pv_array,irradiance,intermittent,heatwave
Check anomaly in charge_controller load_balance.,check,charge_controller,load_balance,none,under_cloud_cover
Check why the battery_bank efficiency is overload.,check,battery_bank,efficiency,overload,none
Log issue detected in inverter efficiency.,log,inverter,efficiency,high,heatwave
Predict charge_controller — output_power seems none.,predict,charge_controller,output_power,none,during_peak_hours
Reset microgrid_controller — irradiance seems critical.,reset,microgrid_controller,irradiance,critical,under_cloud_cover
Optimize sensor discrepancy: smart_meter load_balance.,optimize,smart_meter,load_balance,none,none
Reset sensor discrepancy: solar_panel temperature.,reset,solar_panel,temperature,critical,none
Diagnose why the solar_panel efficiency is high.,diagnose,solar_panel,efficiency,high,none
Inspect the grid_tie_inverter current.,inspect,grid_tie_inverter,current,intermittent,none
Monitor sensor discrepancy: battery_bank output_power.,monitor,battery_bank,output_power,none,heatwave
Reset microgrid_controller — voltage seems critical.,reset,microgrid_controller,voltage,critical,none
Monitor sensor discrepancy: solar_panel efficiency.,monitor,solar_panel,efficiency,none,during_peak_hours
Reset the battery_bank frequency.,reset,battery_bank,frequency,critical,under_cloud_cover
Optimize sensor discrepancy: battery_bank frequency.,optimize,battery_bank,frequency,overload,heatwave
Log why the microgrid_controller voltage is sudden_drop.,log,microgrid_controller,voltage,sudden_drop,none
Reset sensor discrepancy: pv_array efficiency.,reset,pv_array,efficiency,low,during_peak_hours
Reset charge_controller — fault_code seems sudden_drop.,reset,charge_controller,fault_code,sudden_drop,under_cloud_cover
Predict the intermittent efficiency in the smart_meter.,predict,smart_meter,efficiency,intermittent,during_peak_hours
Check the critical frequency in the charge_controller.,check,charge_controller,frequency,critical,during_peak_hours
Predict solar_panel — frequency seems sudden_drop.,predict,solar_panel,frequency,sudden_drop,post_storm
Check sensor discrepancy: charge_controller frequency.,check,charge_controller,frequency,critical,none
Diagnose pv_array — state_of_charge seems unstable.,diagnose,pv_array,state_of_charge,unstable,during_peak_hours
Predict why the smart_meter frequency is overload.,predict,smart_meter,frequency,overload,under_cloud_cover
Optimize sensor discrepancy: solar_panel voltage.,optimize,solar_panel,voltage,unstable,during_peak_hours
Predict temperature readings on the microgrid_controller.,predict,microgrid_controller,temperature,intermittent,during_peak_hours
Reset the inverter fault_code.,reset,inverter,fault_code,critical,none
Predict why the charge_controller temperature is low.,predict,charge_controller,temperature,low,during_peak_hours
Predict issue detected in pv_array state_of_charge.,predict,pv_array,state_of_charge,none,during_peak_hours
Diagnose temperature readings on the battery_bank.,diagnose,battery_bank,temperature,sudden_drop,under_cloud_cover
Log the overload temperature in the battery_bank.,log,battery_bank,temperature,overload,at_night
Inspect smart_meter — fault_code seems sudden_drop.,inspect,smart_meter,fault_code,sudden_drop,post_storm
Log why the microgrid_controller fault_code is critical.,log,microgrid_controller,fault_code,critical,during_peak_hours
Diagnose battery_bank — frequency seems sudden_drop.,diagnose,battery_bank,frequency,sudden_drop,none
Inspect the low fault_code in the smart_meter.,inspect,smart_meter,fault_code,low,during_peak_hours
Log the high frequency in the solar_panel.,log,solar_panel,frequency,high,at_night
Check the grid_tie_inverter load_balance.,check,grid_tie_inverter,load_balance,high,during_peak_hours
Monitor why the pv_array voltage is none.,monitor,pv_array,voltage,none,post_storm
Reset the critical voltage in the microgrid_controller.,reset,microgrid_controller,voltage,critical,during_peak_hours
Monitor why the smart_meter irradiance is critical.,monitor,smart_meter,irradiance,critical,post_storm
Check why the charge_controller temperature is unstable.,check,charge_controller,temperature,unstable,heatwave
Monitor the grid_tie_inverter frequency.,monitor,grid_tie_inverter,frequency,overload,under_cloud_cover
Predict issue detected in charge_controller efficiency.,predict,charge_controller,efficiency,unstable,during_peak_hours
Log issue detected in solar_panel state_of_charge.,log,solar_panel,state_of_charge,critical,under_cloud_cover
Check sensor discrepancy: battery_bank state_of_charge.,check,battery_bank,state_of_charge,none,post_storm
Log why the battery_bank state_of_charge is none.,log,battery_bank,state_of_charge,none,post_storm
Reset the solar_panel frequency.,reset,solar_panel,frequency,low,heatwave
Diagnose issue detected in grid_tie_inverter fault_code.,diagnose,grid_tie_inverter,fault_code,sudden_drop,under_cloud_cover
Inspect the inverter irradiance.,inspect,inverter,irradiance,none,none
Predict issue detected in microgrid_controller frequency.,predict,microgrid_controller,frequency,intermittent,none
Log battery_bank — state_of_charge seems unstable.,log,battery_bank,state_of_charge,unstable,heatwave
